Initializing simulation at 2019-06-23 22:26:50.537811
m.e. ioytgor started at 10:50:55
m.e. ophugbe started at 10:51:05
m.e. ibpijda started at 10:51:29
m.e. odscixam finished at 10:51:42
m.e. ackgrica started at 10:52:25
m.e. ancyclsu finished at 10:52:26
m.e. owbsuscs started at 10:52:34
m.e. utlurva finished at 10:52:44
m.e. ojfanni started at 10:52:47
m.e. ofjeequo finished at 10:53:22
m.e. egteir started at 10:53:30
m.e. ithpett finished at 10:55:37
m.e. oirzgont finished at 10:56:20
m.e. oafhynu started at 10:57:21
m.e. evbacclu finished at 10:57:29
m.e. ubjaju finished at 10:58:06
m.e. uklsdryo started at 10:58:24
m.e. ivheoo started at 10:59:08
m.e. egwicjuv finished at 10:59:21
m.e. atfrim finished at 10:59:37
m.e. agivle started at 11:00:07
m.e. avglybic started at 11:00:08
m.e. onwohyss finished at 11:00:08
m.e. ujkiwe started at 11:00:16
m.e. ancorjo started at 11:00:34
m.e. idbaybim finished at 11:01:04
m.e. ayshowg finished at 11:01:12
m.e. aquawaw finished at 11:01:37
m.e. udwadla started at 11:01:43
m.e. ovnacgad finished at 11:02:05
m.e. uvburki finished at 11:02:36
m.e. odklobci finished at 11:02:38
m.e. ogijtri finished at 11:03:21
m.e. inghoth finished at 11:03:51
m.e. etalrab started at 11:04:24
m.e. osckro started at 11:04:52
m.e. iapberci finished at 11:04:52
m.e. awnbeb finished at 11:04:56
m.e. asigno started at 11:05:45
m.e. oshyon finished at 11:06:05
m.e. itpivoa started at 11:06:06
m.e. okavkau started at 11:06:10
m.e. ioytgor finished at 11:07:32
m.e. ajthof started at 11:08:09
m.e. iphespha started at 11:08:20
m.e. occeyd finished at 11:08:20
m.e. owbsuscs finished at 11:08:50
m.e. edjiye started at 11:09:10
m.e. uvreoipy started at 11:09:11
m.e. iaggrijo started at 11:09:28
m.e. edeejdru finished at 11:09:45
m.e. ackgrica finished at 11:10:57
m.e. ibpijda finished at 11:11:09
m.e. ivheoo finished at 11:12:22
m.e. iawxben started at 11:12:23
m.e. utwoab started at 11:12:33
m.e. alsheth started at 11:12:54
m.e. epabcadu finished at 11:13:12
m.e. ophugbe finished at 11:13:39
m.e. aimidd started at 11:13:53
m.e. agvexpia started at 11:13:54
m.e. ujkiwe finished at 11:14:53
m.e. oafhynu finished at 11:15:07
m.e. orsyalf started at 11:15:10
m.e. egteir finished at 11:15:23
m.e. ancorjo finished at 11:15:25
m.e. ojfanni finished at 11:16:55
m.e. uklsdryo finished at 11:17:56
m.e. udwadla finished at 11:18:22
m.e. arcurbig started at 11:18:27
m.e. ayshowg started at 11:18:31
m.e. etalrab finished at 11:18:43
m.e. iatmeuns started at 11:18:54
m.e. enidmopt started at 11:19:29
m.e. avglybic finished at 11:20:14
m.e. imneesu started at 11:21:59
m.e. uvreoipy finished at 11:22:03
m.e. ishvirv started at 11:22:30
m.e. okavkau finished at 11:22:58
m.e. adkavy started at 11:23:08
m.e. ekfrab started at 11:23:39
m.e. ajthof finished at 11:24:05
m.e. osckro finished at 11:24:34
m.e. iatmeuns finished at 11:24:48
m.e. iphespha finished at 11:25:00
m.e. odscixam started at 11:25:26
m.e. indtwrat started at 11:25:27
m.e. akyeerbi started at 11:25:47
m.e. ijcoga started at 11:25:57
m.e. edjiye finished at 11:26:03
m.e. obceoo started at 11:26:14
m.e. itpivoa finished at 11:26:16
m.e. evijcey started at 11:26:25
m.e. abtyff started at 11:26:36
m.e. egreosko started at 11:27:03
m.e. iawxben finished at 11:27:43
m.e. atnokvo started at 11:28:07
m.e. obacvau started at 11:28:22
m.e. aimidd finished at 11:28:30
m.e. ancyclsu started at 11:29:05
m.e. iaggrijo finished at 11:29:42
m.e. acitva started at 11:29:46
m.e. atfrim started at 11:29:46
m.e. idodly started at 11:30:08
m.e. ojfequia started at 11:30:22
m.e. alsheth finished at 11:30:37
m.e. exskafvo started at 11:30:57
m.e. asigno finished at 11:31:27
m.e. umhenwed started at 11:31:38
m.e. ugifmav started at 11:32:29
m.e. idbaybim started at 11:32:39
m.e. inghoth started at 11:33:56
m.e. agvexpia finished at 11:34:30
m.e. arcurbig finished at 11:34:58
m.e. aichash started at 11:34:59
m.e. enidmopt finished at 11:35:19
m.e. esnddceb started at 11:35:44
m.e. icdapnu started at 11:36:04
m.e. orsyalf finished at 11:36:10
m.e. odklobci started at 11:36:38
m.e. ithpett started at 11:36:44
m.e. ackgrica started at 11:37:48
m.e. ayshowg finished at 11:38:38
m.e. imneesu finished at 11:39:12
m.e. eshroa started at 11:40:32
m.e. eokracy started at 11:41:06
m.e. ibwicim started at 11:41:28
m.e. upchimy started at 11:41:59
m.e. epabcadu started at 11:42:02
m.e. arphaud started at 11:42:07
m.e. oncalku started at 11:42:18
m.e. adkavy finished at 11:42:36
m.e. odscixam finished at 11:42:40
m.e. obceoo finished at 11:43:26
m.e. ekfrab finished at 11:43:44
m.e. indtwrat finished at 11:44:17
m.e. ocwyit started at 11:44:51
m.e. ijcoga finished at 11:44:52
m.e. ophugbe started at 11:44:56
m.e. egreosko finished at 11:45:27
m.e. obacvau finished at 11:45:37
m.e. exskafvo finished at 11:46:03
m.e. okavkau started at 11:46:15
m.e. ibpijda started at 11:46:35
m.e. ovnacgad started at 11:46:43
m.e. ishvirv finished at 11:47:33
m.e. akyeerbi finished at 11:47:34
m.e. evijcey finished at 11:48:05
m.e. umhenwed finished at 11:48:13
m.e. inghoth finished at 11:48:33
m.e. abtyff finished at 11:48:35
m.e. egteir started at 11:48:36
m.e. idodly finished at 11:48:46
m.e. iorjtwav started at 11:48:53
m.e. utwoab finished at 11:49:10
m.e. idcadgi started at 11:49:24
m.e. alsheth started at 11:49:46
m.e. atnokvo finished at 11:50:08
m.e. eagbaci finished at 11:50:16
m.e. ancyclsu finished at 11:51:08
m.e. icdapnu finished at 11:51:23
m.e. evmaja started at 11:51:36
m.e. ochotcil started at 11:52:00
m.e. asigno started at 11:52:17
m.e. ugifmav finished at 11:52:18
m.e. aichash finished at 11:52:35
m.e. idbaybim finished at 11:52:57
m.e. ojfequia finished at 11:53:04
m.e. odklobci finished at 11:53:08
m.e. onwohyss started at 11:53:10
m.e. ithpett finished at 11:53:34
m.e. esnddceb finished at 11:54:22
m.e. acitva finished at 11:54:34
m.e. imneesu started at 11:54:45
m.e. iaggrijo started at 11:54:56
m.e. odscixam started at 11:55:33
m.e. ewvnil started at 11:55:41
m.e. eoydba started at 11:56:04
m.e. orrrar started at 11:56:56
m.e. ibwicim finished at 11:57:31
m.e. umhenwed started at 11:59:08
m.e. eadectio started at 11:59:10
m.e. atfrim finished at 11:59:19
m.e. itbadpi started at 11:59:34
m.e. oncalku finished at 11:59:38
m.e. ogshtcew started at 11:59:44
m.e. ackgrica finished at 11:59:48
m.e. ijtowhur started at 12:00:10
m.e. ejkipub started at 12:00:13
m.e. eokracy finished at 12:00:22
m.e. ocwyit finished at 12:01:13
m.e. ibpijda finished at 12:01:21
m.e. aichash started at 12:01:31
m.e. eshroa finished at 12:02:00
m.e. upchimy finished at 12:02:36
m.e. ubjaju started at 12:02:40
m.e. opgovebo started at 12:02:56
m.e. ajsips started at 12:03:21
m.e. enkkand started at 12:03:36
m.e. eedigkr started at 12:03:50
m.e. itpivoa started at 12:04:11
m.e. arphaud finished at 12:04:31
m.e. okavkau finished at 12:04:38
m.e. epabcadu finished at 12:04:41
m.e. evmaja finished at 12:04:52
m.e. omwyek started at 12:05:09
m.e. abdremlu started at 12:05:18
m.e. idcadgi finished at 12:05:21
m.e. iorjtwav finished at 12:06:41
m.e. eadectio finished at 12:07:03
m.e. ovnacgad finished at 12:08:06
m.e. agivle finished at 12:09:03
m.e. ophugbe finished at 12:09:48
m.e. eokracy started at 12:10:33
m.e. odklobci started at 12:10:37
m.e. upchimy started at 12:10:44
m.e. ochotcil finished at 12:10:46
m.e. ibgryk started at 12:11:03
m.e. odscixam finished at 12:11:27
m.e. egteir finished at 12:12:00
m.e. alsheth finished at 12:12:04
m.e. asigno finished at 12:12:20
m.e. utwoab started at 12:12:27
m.e. esnddceb started at 12:12:28
m.e. iaggrijo finished at 12:12:38
m.e. ewvnil finished at 12:13:10
m.e. aitpygg started at 12:13:24
m.e. eoydba finished at 12:13:27
m.e. imneesu finished at 12:13:34
m.e. ijhipvo started at 12:14:29
m.e. onwohyss finished at 12:14:50
m.e. eedigkr finished at 12:17:57
m.e. ijtowhur finished at 12:18:15
m.e. umhenwed finished at 12:18:16
m.e. orrrar finished at 12:18:22
m.e. itbadpi finished at 12:19:26
m.e. esnddceb finished at 12:20:18
m.e. ogshtcew finished at 12:21:03
m.e. adkavy started at 12:21:07
m.e. abdremlu finished at 12:21:08
m.e. oasthul started at 12:21:28
m.e. opgovebo finished at 12:21:30
m.e. enkkand finished at 12:22:30
m.e. ejkipub finished at 12:22:39
m.e. ejnoax started at 12:22:44
m.e. iawxben started at 12:23:09
m.e. amknywr started at 12:23:33
m.e. ilcoby started at 12:24:31
m.e. itpivoa finished at 12:25:00
m.e. ijtowhur started at 12:25:12
m.e. ubjaju finished at 12:25:22
m.e. ednillo started at 12:25:52
m.e. arcuim started at 12:25:54
m.e. enidmopt started at 12:26:41
m.e. amciuca started at 12:26:45
m.e. ibgryk finished at 12:26:53
m.e. odscixam started at 12:27:03
m.e. aichash finished at 12:27:07
m.e. omwyek finished at 12:27:48
m.e. acitva started at 12:28:20
m.e. eckecky started at 12:28:23
m.e. eckecky started at 12:28:23
m.e. odklobci finished at 12:29:02
m.e. eadectio started at 12:30:00
m.e. iblool started at 12:30:50
m.e. eokracy finished at 12:32:51
m.e. enidmopt finished at 12:32:53
m.e. agivle started at 12:33:03
m.e. imneesu started at 12:33:16
m.e. utwoab finished at 12:33:22
m.e. eemafbij started at 12:33:23
m.e. upchimy finished at 12:33:27
m.e. ajsips finished at 12:33:37
m.e. ackgrica started at 12:35:13
m.e. oygmebra started at 12:35:22
m.e. oasthul finished at 12:37:11
m.e. adkavy finished at 12:37:13
m.e. esnddceb started at 12:37:52
m.e. imneesu finished at 12:38:03
m.e. ibgryk started at 12:38:48
m.e. ijhipvo started at 12:39:04
m.e. ejnoax finished at 12:39:24
m.e. ijhipvo finished at 12:40:23
m.e. ictlypt started at 12:40:51
m.e. oygmebra finished at 12:41:04
m.e. ilcoby finished at 12:42:12
m.e. ijtowhur finished at 12:42:23
m.e. ednillo finished at 12:42:23
m.e. odscixam finished at 12:42:29
m.e. eemafbij finished at 12:42:41
m.e. arcuim finished at 12:42:57
m.e. amciuca finished at 12:43:08
m.e. amknywr finished at 12:44:15
m.e. eckecky finished at 12:44:47
m.e. eckecky finished at 12:44:47
m.e. uttorhig started at 12:44:58
m.e. iawxben finished at 12:45:07
m.e. acitva entering in mz 65317133.0 at time 12:46:22
m.e. acitva exited from mz 65317133.0 at time 12:47:00
m.e. acitva finished at 12:47:00
m.e. eadectio finished at 12:47:01
m.e. enidmopt started at 12:47:10
m.e. agivle finished at 12:49:21
m.e. omwyek started at 12:49:42
m.e. agcowktu started at 12:50:58
m.e. ejnoax started at 12:52:43
m.e. amknywr started at 12:52:50
m.e. iblool finished at 12:53:04
m.e. aitpygg finished at 12:53:07
m.e. ackgrica finished at 12:53:24
m.e. ithpett started at 12:54:11
m.e. aimidd started at 12:55:19
m.e. ictlypt finished at 12:55:20
m.e. oksbosfl started at 12:55:43
m.e. esnddceb finished at 12:56:32
m.e. ibgryk finished at 12:56:33
m.e. egteir started at 12:56:55
m.e. ijhipvo finished at 12:57:20
m.e. edeejdru started at 13:00:37
m.e. oipial started at 13:01:05
m.e. uttorhig finished at 13:02:13
m.e. oksbosfl finished at 13:02:53
m.e. enidmopt finished at 13:02:59
m.e. ilkble started at 13:03:14
m.e. eoivqued started at 13:03:28
m.e. ackgrica started at 13:04:28
m.e. omwyek finished at 13:05:11
m.e. eemafbij started at 13:05:18
m.e. oygmebra started at 13:07:18
m.e. ithpett finished at 13:07:51
m.e. ojfequia started at 13:08:02
m.e. ejnoax finished at 13:09:35
m.e. agcowktu finished at 13:10:07
m.e. oyclsdas started at 13:11:07
m.e. atidfi started at 13:11:27
m.e. aimidd finished at 13:11:27
m.e. amknywr finished at 13:12:35
m.e. isvayd started at 13:14:39
m.e. egteir finished at 13:15:15
m.e. askmecle started at 13:15:38
m.e. uggdye started at 13:17:35
m.e. edeejdru finished at 13:18:26
m.e. eckecky started at 13:18:44
m.e. eckecky started at 13:18:44
m.e. iahorou started at 13:19:16
m.e. edjiye started at 13:19:28
m.e. ellimtbu started at 13:19:46
m.e. ilkble finished at 13:20:33
m.e. oksbosfl started at 13:21:35
m.e. oipial finished at 13:22:38
m.e. oapwycti started at 13:22:43
m.e. ackgrica finished at 13:22:54
m.e. oygmebra finished at 13:23:41
m.e. ojfequia finished at 13:23:57
m.e. eoivqued finished at 13:25:13
m.e. iaggrijo started at 13:25:25
m.e. atidfi finished at 13:26:44
m.e. adkavy started at 13:26:51
m.e. iphybcay started at 13:27:52
m.e. umhenwed started at 13:28:12
m.e. oyclsdas finished at 13:28:32
m.e. eemafbij finished at 13:28:33
m.e. osoccef started at 13:28:58
m.e. insodfl started at 13:29:43
m.e. ifelas started at 13:32:18
m.e. isvayd finished at 13:32:31
m.e. edjiye finished at 13:33:50
m.e. ellimtbu finished at 13:34:46
m.e. uggdye finished at 13:35:11
m.e. uthiss started at 13:36:23
m.e. isfikti started at 13:36:30
m.e. eckecky finished at 13:36:35
m.e. eckecky finished at 13:36:35
m.e. ecjeody started at 13:36:49
m.e. ecjeody started at 13:36:49
m.e. iahorou finished at 13:37:12
m.e. askmecle finished at 13:37:27
m.e. oksbosfl finished at 13:38:05
m.e. avglybic started at 13:39:01
m.e. avdyab started at 13:39:13
m.e. oapwycti finished at 13:39:38
m.e. eggfrij started at 13:40:38
m.e. iaggrijo finished at 13:42:01
m.e. adkavy finished at 13:44:56
m.e. iphybcay finished at 13:45:41
m.e. osoccef finished at 13:45:51
m.e. ootyecls started at 13:48:06
m.e. umhenwed finished at 13:48:20
m.e. ipjiert started at 13:49:30
m.e. ifelas finished at 13:49:50
m.e. oncalku started at 13:51:37
m.e. isfikti finished at 13:51:40
m.e. ilcoby started at 13:53:08
m.e. insodfl finished at 13:54:20
m.e. ecjeody finished at 13:55:05
m.e. ecjeody finished at 13:55:05
m.e. equioc started at 13:58:02
m.e. iblool started at 13:59:58
m.e. avdyab finished at 14:00:33
m.e. uthiss finished at 14:02:20
m.e. eggfrij finished at 14:02:48
m.e. apsskyul started at 14:04:41
m.e. odklobci started at 14:05:01
m.e. ugatna started at 14:07:11
m.e. inghoth started at 14:07:44
m.e. equioc finished at 14:08:21
m.e. ipjiert finished at 14:09:20
m.e. ootyecls finished at 14:10:07
m.e. ochtin started at 14:10:32
m.e. oncalku finished at 14:12:26
m.e. equioc started at 14:14:25
m.e. ucbiyaym started at 14:14:34
m.e. ocwyit started at 14:14:40
m.e. ejnoax started at 14:15:03
m.e. iawxben started at 14:15:24
m.e. ilcoby finished at 14:16:03
m.e. iblool finished at 14:20:13
m.e. odklobci finished at 14:21:09
m.e. ebstic started at 14:21:11
m.e. ebstic started at 14:21:11
m.e. apsskyul finished at 14:21:33
m.e. atnokvo started at 14:21:42
m.e. igglitby started at 14:22:14
m.e. ovnacgad started at 14:22:35
m.e. inghoth finished at 14:22:56
m.e. ewbglo started at 14:23:22
m.e. ugatna finished at 14:24:19
m.e. ifanfadd started at 14:26:06
m.e. owufrey started at 14:26:12
m.e. edeejdru started at 14:26:26
m.e. etalrab started at 14:26:51
m.e. ochtin finished at 14:27:26
m.e. aichash started at 14:27:31
m.e. oipial started at 14:28:08
m.e. equioc finished at 14:28:22
m.e. ithpett started at 14:30:51
m.e. aichash finished at 14:31:32
m.e. ocwyit finished at 14:31:57
m.e. avglybic finished at 14:31:58
m.e. ucbiyaym finished at 14:33:10
m.e. owufrey finished at 14:33:55
m.e. ejnoax finished at 14:34:47
m.e. isvayd started at 14:35:34
m.e. ebstic finished at 14:36:49
m.e. ebstic finished at 14:36:49
m.e. atnokvo finished at 14:36:50
m.e. oipial finished at 14:39:45
m.e. ifanfadd finished at 14:41:07
m.e. etalrab finished at 14:41:27
m.e. edeejdru finished at 14:42:17
m.e. ovnacgad finished at 14:43:04
m.e. iawxben finished at 14:43:14
m.e. ekfrab started at 14:44:06
m.e. ewbglo finished at 14:44:07
m.e. igglitby finished at 14:45:49
m.e. inghoth started at 14:46:02
m.e. egreosko started at 14:47:30
m.e. ecdiwovu started at 14:48:47
m.e. ecdiwovu started at 14:48:47
m.e. ithpett finished at 14:49:15
m.e. odklobci started at 14:49:17
m.e. atfrim started at 14:50:05
m.e. isvayd finished at 14:50:32
m.e. onwohyss started at 14:51:45
m.e. aypudby started at 14:53:03
m.e. ogurjupo started at 14:56:34
m.e. ekfrab finished at 14:59:32
m.e. umsmtha started at 14:59:34
m.e. uchjafy started at 14:59:37
m.e. eadectio started at 15:00:29
m.e. atnokvo started at 15:01:26
m.e. acduou started at 15:02:10
m.e. inghoth finished at 15:02:59
m.e. ochotcil started at 15:03:18
m.e. aimidd started at 15:05:03
m.e. atfrim finished at 15:06:54
m.e. ecdiwovu finished at 15:07:07
m.e. ecdiwovu finished at 15:07:07
m.e. owufrey started at 15:07:38
m.e. onwohyss finished at 15:08:39
m.e. iatmeuns started at 15:08:47
m.e. odklobci finished at 15:08:48
m.e. askmecle started at 15:10:37
m.e. atnokvo finished at 15:11:10
m.e. adkavy started at 15:11:14
m.e. aypudby finished at 15:12:32
m.e. onwohyss started at 15:12:47
m.e. oncixpi started at 15:13:43
m.e. otmegok started at 15:13:50
m.e. ogurjupo finished at 15:14:56
m.e. iatmeuns finished at 15:15:08
m.e. eadectio finished at 15:16:01
m.e. ibpijda started at 15:16:28
m.e. umsmtha finished at 15:17:47
m.e. otmegok finished at 15:18:00
m.e. oncixpi finished at 15:18:31
m.e. ochotcil finished at 15:19:10
m.e. acduou finished at 15:19:43
m.e. uchjafy finished at 15:20:47
m.e. egreosko finished at 15:21:18
m.e. askmecle finished at 15:25:28
m.e. aquawaw started at 15:26:27
m.e. adkavy finished at 15:27:04
m.e. aslagni started at 15:30:16
m.e. ictlypt started at 15:31:30
m.e. ibpijda finished at 15:33:02
m.e. aichash started at 15:35:01
m.e. isfikti started at 15:35:01
m.e. ojfequia started at 15:35:15
m.e. aichash finished at 15:40:17
m.e. onwohyss finished at 15:41:23
m.e. aimidd finished at 15:44:28
m.e. iatmeuns started at 15:44:42
m.e. aquawaw finished at 15:45:06
m.e. elswcky started at 15:45:16
m.e. iorjtwav started at 15:45:55
m.e. ucbiyaym started at 15:46:04
m.e. ioivkn started at 15:46:30
m.e. oncixpi started at 15:47:52
m.e. aslagni finished at 15:47:54
m.e. ictlypt finished at 15:48:01
m.e. igvidth started at 15:49:34
m.e. owufrey finished at 15:49:42
m.e. isfikti finished at 15:50:02
m.e. imneesu started at 15:51:17
m.e. iahorou started at 15:53:20
m.e. ojfequia finished at 15:55:16
m.e. ubjaju started at 15:55:59
m.e. ancyclsu started at 15:58:28
m.e. iatmeuns finished at 15:58:34
m.e. atnokvo started at 16:01:11
m.e. udguic started at 16:02:11
m.e. udguic entering in mz 65317145.0 at time 16:03:23
m.e. iorjtwav finished at 16:03:33
m.e. aichash started at 16:04:07
m.e. ajtreo started at 16:05:07
m.e. ucbiyaym finished at 16:05:29
m.e. oncixpi finished at 16:05:55
m.e. udguic exited from mz 65317145.0 at time 16:06:40
m.e. elswcky finished at 16:07:16
m.e. ilkble started at 16:07:50
m.e. imneesu finished at 16:08:03
m.e. ovnacgad started at 16:08:12
m.e. iahorou finished at 16:08:16
m.e. ioivkn finished at 16:09:18
m.e. agdrea started at 16:09:49
m.e. igvidth finished at 16:11:26
m.e. oasthul started at 16:12:14
m.e. ubjaju finished at 16:12:17
m.e. afweka started at 16:14:58
m.e. atnokvo finished at 16:16:51
m.e. ancyclsu finished at 16:17:52
m.e. ubgihoot started at 16:19:27
m.e. iatmeuns started at 16:22:06
m.e. ajsips started at 16:22:43
m.e. afweka finished at 16:23:41
m.e. ovnacgad finished at 16:24:00
m.e. oygvar started at 16:24:07
m.e. oasthul finished at 16:24:09
m.e. ajtreo finished at 16:24:41
m.e. udguic finished at 16:24:53
m.e. ibwicim started at 16:25:10
m.e. auctjir started at 16:25:37
m.e. abjoolaw started at 16:25:57
m.e. aiwalb started at 16:26:08
m.e. aichash finished at 16:27:00
m.e. agdrea finished at 16:27:11
m.e. ickphiwa started at 16:30:08
m.e. iaggrijo started at 16:30:47
m.e. ilkble finished at 16:31:19
m.e. ochotcil started at 16:32:12
m.e. atfrim started at 16:34:05
m.e. idshywr started at 16:36:25
m.e. evmaja started at 16:37:01
m.e. ajsips finished at 16:37:06
m.e. ifanfadd started at 16:37:18
m.e. ubgihoot finished at 16:38:49
m.e. oygvar finished at 16:39:33
m.e. elvgid started at 16:39:54
m.e. oasthul started at 16:41:01
m.e. avglybic started at 16:42:11
m.e. ecgojtyt started at 16:42:19
m.e. ecgojtyt started at 16:42:19
m.e. iatmeuns finished at 16:42:45
m.e. ajsnedsi started at 16:43:14
m.e. onwohyss started at 16:43:19
m.e. ochotcil finished at 16:43:33
m.e. ibwicim finished at 16:43:41
m.e. egreosko started at 16:44:02
m.e. iaggrijo finished at 16:44:31
m.e. ayfsdu started at 16:45:37
m.e. ioivkn started at 16:45:47
m.e. afweka started at 16:45:58
m.e. auctjir finished at 16:45:59
m.e. aiwalb finished at 16:46:26
m.e. ickphiwa finished at 16:47:20
m.e. oilrag started at 16:49:00
m.e. ojfieza started at 16:50:06
m.e. ovnacgad started at 16:50:36
m.e. idshywr finished at 16:50:49
m.e. odklobci started at 16:51:03
m.e. ifanfadd finished at 16:52:08
m.e. evmaja finished at 16:52:37
m.e. afweka finished at 16:52:55
m.e. oksbosfl started at 16:54:40
m.e. evdyffu started at 16:56:03
m.e. avglybic finished at 16:57:19
m.e. onwohyss finished at 16:57:28
m.e. ufdoyno started at 16:57:52
m.e. egteir started at 16:58:55
m.e. udguic started at 16:59:18
m.e. elvgid finished at 16:59:22
m.e. ajsnedsi finished at 16:59:23
m.e. egreosko finished at 17:00:28
m.e. abjoolaw finished at 17:01:21
m.e. ioivkn finished at 17:02:28
m.e. isfikti started at 17:02:36
m.e. ucbiyaym started at 17:04:07
m.e. iaggrijo started at 17:04:13
m.e. ovnacgad finished at 17:04:56
m.e. ojfieza finished at 17:05:07
m.e. eovsyt started at 17:05:36
m.e. easnsvu started at 17:06:02
m.e. ecgojtyt entering in mz 65307609.0 at time 17:06:32
m.e. ecgojtyt entering in mz 65307609.0 at time 17:06:32
m.e. odklobci finished at 17:06:33
m.e. ecgojtyt finished at 17:06:37
m.e. ecgojtyt finished at 17:06:37
m.e. atfrim finished at 17:06:49
m.e. oilrag finished at 17:07:01
m.e. ayfsdu finished at 17:08:02
m.e. evmaja started at 17:08:13
m.e. ubjaju started at 17:08:38
m.e. ilcoby started at 17:08:39
m.e. uthiss started at 17:08:46
m.e. idshywr started at 17:09:14
m.e. eacderph started at 17:11:02
m.e. evdyffu finished at 17:12:03
m.e. egteir finished at 17:13:11
m.e. oasthul finished at 17:13:32
m.e. udguic finished at 17:15:14
m.e. isfikti finished at 17:15:42
m.e. esnddceb started at 17:16:43
m.e. oksbosfl finished at 17:17:22
m.e. afweka started at 17:19:28
m.e. ellimtbu started at 17:20:06
m.e. aviltly started at 17:20:30
m.e. auctjir started at 17:20:39
m.e. evmaja finished at 17:20:56
m.e. ufdoyno finished at 17:21:26
m.e. iaggrijo finished at 17:21:34
m.e. uthiss finished at 17:24:04
m.e. egreosko started at 17:24:17
m.e. easnsvu finished at 17:24:35
m.e. ilcoby finished at 17:24:56
m.e. otscokdr started at 17:24:57
m.e. eacderph finished at 17:25:51
m.e. ojfieza started at 17:26:04
m.e. imneesu started at 17:27:33
m.e. eovsyt finished at 17:28:01
m.e. ickphiwa started at 17:29:37
m.e. odklobci started at 17:30:25
m.e. ecjeody started at 17:30:27
m.e. ecjeody started at 17:30:27
m.e. ubjaju finished at 17:31:48
m.e. idshywr finished at 17:32:30
m.e. arcuim started at 17:33:56
m.e. ancyclsu started at 17:34:47
m.e. aviltly finished at 17:35:00
m.e. odocjeca started at 17:35:47
m.e. afweka finished at 17:36:03
m.e. ocshitcl started at 17:36:46
m.e. ucbiyaym finished at 17:37:28
m.e. isvayd started at 17:37:49
m.e. ickphiwa finished at 17:41:17
m.e. esnddceb finished at 17:41:51
m.e. auctjir finished at 17:42:26
m.e. ojfieza finished at 17:42:43
m.e. otscokdr finished at 17:44:18
m.e. evijcey started at 17:44:44
m.e. ellimtbu finished at 17:44:47
m.e. inghoth started at 17:45:11
m.e. oquiat started at 17:45:29
m.e. evmaja started at 17:45:44
m.e. arcuim finished at 17:46:57
m.e. unquekov started at 17:47:38
m.e. imneesu finished at 17:47:55
m.e. ecjeody finished at 17:49:35
m.e. ecjeody finished at 17:49:35
m.e. ancyclsu finished at 17:49:37
m.e. odklobci finished at 17:49:59
m.e. udguic started at 17:50:30
m.e. isvayd finished at 17:52:18
m.e. odscixam started at 17:52:39
m.e. ocshitcl finished at 17:52:46
m.e. egreosko finished at 17:54:33
m.e. aichash started at 17:55:29
m.e. ayfsdu started at 17:55:37
m.e. ewbglo started at 17:55:47
m.e. abwecnij started at 17:56:19
m.e. odocjeca finished at 17:56:34
m.e. odscixam finished at 17:56:35
m.e. oilrag started at 17:57:56
m.e. alnihi started at 17:58:25
m.e. aviltly started at 17:58:42
m.e. ackgrica started at 17:59:19
m.e. inghoth finished at 18:00:01
m.e. evmaja finished at 18:02:01
m.e. oquiat finished at 18:02:27
m.e. ebenfrag started at 18:03:28
m.e. ebenfrag started at 18:03:28
m.e. evijcey finished at 18:04:35
m.e. ilcoby started at 18:05:01
m.e. edjiye started at 18:06:53
m.e. unquekov finished at 18:07:20
m.e. oilrag finished at 18:08:15
m.e. edglevi started at 18:09:01
m.e. evmaja started at 18:09:22
m.e. idsmuk started at 18:09:33
m.e. aiwalb started at 18:11:18
m.e. ayfsdu finished at 18:11:32
m.e. eacderph started at 18:11:49
m.e. ijdeyd started at 18:12:27
m.e. ubnankke started at 18:12:50
m.e. isfikti started at 18:12:51
m.e. idsmuk finished at 18:14:07
m.e. udwadla started at 18:14:13
m.e. alnihi finished at 18:14:44
m.e. ancyclsu started at 18:14:52
m.e. erjboyni started at 18:15:49
m.e. odscixam started at 18:16:21
m.e. aviltly finished at 18:17:06
m.e. epabcadu started at 18:17:14
m.e. ackgrica finished at 18:17:51
m.e. abboip started at 18:18:07
m.e. abwecnij finished at 18:18:11
m.e. acitva started at 18:18:16
m.e. aichash finished at 18:19:34
m.e. ajsnedsi started at 18:21:32
m.e. ilcoby finished at 18:21:49
m.e. inlica started at 18:22:48
m.e. udguic finished at 18:23:12
m.e. ewbglo finished at 18:23:13
m.e. elvgid started at 18:23:32
m.e. ochtin started at 18:24:35
m.e. atfrim started at 18:24:36
m.e. uvreoipy started at 18:24:36
m.e. ekfrab started at 18:25:00
m.e. ebenfrag finished at 18:25:01
m.e. ebenfrag finished at 18:25:01
m.e. inghoth started at 18:25:11
m.e. edglevi finished at 18:25:54
m.e. evmaja finished at 18:26:03
m.e. ushfeoj started at 18:26:37
m.e. amknywr started at 18:26:40
m.e. eacderph finished at 18:27:03
m.e. avglybic started at 18:27:19
m.e. auctjir started at 18:27:54
m.e. isfikti finished at 18:29:07
m.e. egwicjuv started at 18:29:12
m.e. oilrag started at 18:30:19
m.e. erjboyni finished at 18:30:42
m.e. ovnacgad started at 18:30:58
m.e. ubnankke finished at 18:31:15
m.e. udwadla finished at 18:31:44
m.e. egreosko started at 18:32:20
m.e. epabcadu finished at 18:32:32
m.e. uvjeahot started at 18:32:53
